Epoch,Loss,Learning_Rate,Tannakian_Factor,Splitting_Status
33,6737946875030514987813568512.0000,0.007519,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
34,6737946875030514987813568512.0000,0.007463,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
35,6737946875030514987813568512.0000,0.007407,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
36,6737946875030514987813568512.0000,0.007353,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
37,6737946875030514987813568512.0000,0.007299,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
38,6737946875030514987813568512.0000,0.007246,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
39,6737946875030514987813568512.0000,0.007194,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
40,6737946875030514987813568512.0000,0.007143,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
41,6737946875030514987813568512.0000,0.007092,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
42,6737946875030514987813568512.0000,0.007042,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
43,6737946875030514987813568512.0000,0.006993,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
44,6737946875030514987813568512.0000,0.006944,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
45,6737946875030514987813568512.0000,0.006897,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
46,6737946875030514987813568512.0000,0.006849,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
47,6737946875030514987813568512.0000,0.006803,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
48,6737946875030514987813568512.0000,0.006757,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
49,6737946875030514987813568512.0000,0.006711,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
50,6737946875030514987813568512.0000,0.006667,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
51,6737946875030514987813568512.0000,0.006623,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
