Epoch,Loss,Closure_Status
54,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
55,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
56,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
57,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
58,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
59,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
60,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
61,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
62,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
63,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
64,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
65,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
66,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
67,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
68,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
69,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
70,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
71,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
72,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
73,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
74,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
75,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
76,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
77,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
78,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
79,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
80,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
81,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
82,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
83,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
84,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
85,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
86,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
87,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
88,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
89,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
90,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
91,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
92,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
93,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
94,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
95,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
96,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
97,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
98,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
99,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
100,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
